"folderlist$BookmarkFolder","BookMark","BookMarkDescription"
"R Stats","http://www.statmethods.net/index.html","Quick-R: Home Page"
"R Stats","http://astrostatistics.psu.edu/su07/R/html/grDevices/html/plotmath.html","R: Mathematical Annotation in R"
"R Stats","http://www.ats.ucla.edu/stat/r/pages/greek_letters.htm","How can I include Greek letters in my plot labels?"
"R Stats","http://stat.ethz.ch/R-manual/R-patched/library/grDevices/html/plotmath.html","R: Mathematical Annotation in R"
"R Stats","http://msenux.redwoods.edu/math/R/dataframe.php","Data Frames in R"
"R Stats","http://cran.r-project.org/doc/manuals/R-lang.html#if","R Language Definition"
"R Stats","http://www.ats.ucla.edu/stat/r/faq/sort.htm","R FAQ: How can I sort my data?"
"R Stats","https://stat.ethz.ch/pipermail/r-help/2009-May/198741.html","[R] Concatenating two vectors into one"
"R Stats","http://www.rstudio.com/ide/docs/r_markdown","RStudio Markdown"
"R Stats","http://www.revolutionanalytics.com/products/revolution-enterprise.php","Revolution R Enterprise: Production-Grade Analysis for Business &amp; Large-Scale Research"
"R Stats","http://www.revolutionanalytics.com/downloads/free-academic.php","Download Revolution R - Free for Academia - Revolution Analytics"
"R Stats","http://www.revolutionanalytics.com/what-is-open-source-r/r-language-features/analytics.php","R Language Feature: Analytics"
"R Stats","http://blog.revolutionanalytics.com/","Revolutions"
"R Stats","http://spatialanalysis.co.uk/r/","R Spatial Tips | Spatial Analysis"
"R Stats","http://www.r-bloggers.com/fun-with-r-graphics-a-raptor-and-a-cake/","Fun with R graphics: A raptor and a cake | (R news &amp; tutorials)"
"R Stats","http://www.r-bloggers.com/how-the-democrats-may-have-won-the-house-but-lost-the-seats/","How the Democrats may have won the House, but lost the seats | (R news &amp; tutorials)"
"R Stats","http://www.r-bloggers.com/data-table-rocks-data-manipulation-the-fast-way-in-r/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+RBloggers+%28R+bloggers%29","Data.table rocks! Data manipulation the fast way in R | (R news &amp; tutorials)"
"R Stats","http://stackoverflow.com/questions/13579996/how-to-create-an-r-data-frame-from-a-xml-file","how to create an R data frame from a xml file - Stack Overflow"
"R Stats","http://www.ling.upenn.edu/~joseff/avml2012/","AVML 2012: &lt;code&gt;ggplot2&lt;/code&gt;"
"R Stats","https://www.zoology.ubc.ca/~schluter/R/calculate/","Calculate | R tips pages"
"R Stats","http://www.r-bloggers.com/learning-rstudio-for-r-statistical-computing-2/","Learning RStudio for R Statistical Computing | (R news &amp; tutorials)"
"R Stats","http://www.r-bloggers.com/my-r-package-development-cheat-sheet/","My R-Package Development Cheat Sheet | (R news &amp; tutorials)"
"R Stats","http://www-stat.stanford.edu/~tibs/ElemStatLearn/","Elements of Statistical Learning: data mining, inference, and prediction. 2nd Edition."
"R Stats","http://www.r-bloggers.com/single-stock-plot-shiny-web-application/","Single Stock Plot Shiny web application | (R news &amp; tutorials)"
"R Stats","http://blog.yhathq.com/posts/10-R-packages-I-wish-I-knew-about-earlier.html","10 R Packages"
"R Stats","http://www.r-bloggers.com/building-a-simple-web-app-using-r/","Building a Simple Web App using R | (R news &amp; tutorials)"
"R Stats","http://www.r-bloggers.com/rinside-0-2-10/","RInside 0.2.10 | (R news &amp; tutorials)"
"R Stats","http://www.r-bloggers.com/publishing-from-rknitr-to-wordpress/","Publishing from R+knitr to WordPress | (R news &amp; tutorials)"
"R Stats","http://personality-project.org/r/r.lm.html","R Guide -- the linear model"
"R Stats","http://data.princeton.edu/R/linearModels.html","R - Linear Models"
"R Stats","http://wiener.math.csi.cuny.edu/Statistics/R/simpleR/stat014.html","Regression Analysis"
"R Stats","http://www.r-tutor.com/elementary-statistics/simple-linear-regression/confidence-interval-linear-regression","Confidence Interval for Linear Regression | R Tutorial"
"R Stats","http://en.wikipedia.org/wiki/Confounding","Confounding - Wikipedia, the free encyclopedia"
"R Stats","http://www.rstudio.com/ide/docs/authoring/using_markdown","RStudio Using R Markdown"
"R Stats","http://www.statmethods.net/stats/regression.html","Quick-R: Multiple Regression"
"R Stats","http://users.stat.umn.edu/~sandy/courses/8311/handouts/quine.pdf","quine.pdf"
"R Stats","http://www.findnwrite.com/musings/evaluating-linear-regression-model-in-r/","Evaluating Linear Regression Model in R | Musings"
"R Stats","http://www.dummies.com/how-to/content/how-to-predict-new-data-values-with-r.html","How to Predict New Data Values with R - For Dummies"
"R Stats","http://mlr.r-forge.r-project.org/tutorial/predict.html","4. Predicting Outcomes for New Data — mlr - Machine Learning in R"
"R Stats","http://cran.r-project.org/web/packages/tree/tree.pdf","tree.pdf"
"R Stats","http://en.wikipedia.org/wiki/R_(programming_language)#Graphical_user_interfaces","R (programming language) - Wikipedia, the free encyclopedia"
"R Stats","http://en.wikibooks.org/wiki/R_Programming/Data_types","R Programming/Data types - Wikibooks, open books for an open world"
"R Stats","http://www.r-bloggers.com/r-2-15-3-is-released/","R 2.15.3 is released | (R news &amp; tutorials)"
"R Stats","http://biovisualize.github.com/d3visualization/#visualizationType=map","http://biovisualize.github.com/d3visualization/#visualizationType=map"
"R Stats","https://docs.google.com/spreadsheet/lv?key=0AqMEGBUNwXeHdHpQNlVuY29SUE5BSXVtS3JueGlNYVE&toomany=true#gid=0","D3.js Gallery Data http://bit.ly/XQXZCH @d3visualization - Google Docs"
"R Stats","http://research.stowers-institute.org/efg/R/Statistics/loess.htm","loess Smoothing and Data Imputation"
"R Stats","http://geography.uoregon.edu/geogr/topics/lowess.htm","Lowess and loess"
"R Stats","http://www.r-bloggers.com/sab-r-metrics-basics-of-loess-regression/","sab-R-metrics: Basics of LOESS Regression | (R news &amp; tutorials)"
"R Stats","http://en.wikipedia.org/wiki/Local_regression","Local regression - Wikipedia, the free encyclopedia"
"R Stats","http://www.biostat.jhsph.edu/~ririzarr/Teaching/649/","Rafael A. Irizarry&#39;s Home Page"
"R Stats","https://github.com/rdpeng/simpleboot/blob/master/R/simpleboot.R","simpleboot/R/simpleboot.R at master · rdpeng/simpleboot · GitHub"
"R Stats","http://www.ats.ucla.edu/stat/r/library/bootstrap.htm","R Library: Introduction to bootstrapping"
"R Stats","http://mkseo.pe.kr/stats/?p=220","Computational Prediction - Random Forest in R"
"R Stats","http://www.csie.ntu.edu.tw/%7Ecjlin/libsvm/index.html","LIBSVM -- A Library for Support Vector Machines"
"R Stats","http://www.kaggle.com/c/predicting-parkinson-s-disease-progression-with-smartphone-data","Description - Predicting Parkinson&#39;s Disease Progression with Smartphone Data - Kaggle"
"R Stats","http://cran.r-project.org/web/packages/Hmisc/index.html","CRAN - Package Hmisc"
"R Stats","http://biostat.mc.vanderbilt.edu/wiki/Main/Hmisc","Hmisc &lt; Main &lt; Vanderbilt Biostatistics Wiki"
"R Stats","http://www.psychstat.missouristate.edu/multibook/mlt07.htm","Multiple Regression with Many Predictor Variables"
"R Stats","http://stats.stackexchange.com/questions/16480/how-to-quickly-select-important-variables-from-a-very-large-dataset","machine learning - How to quickly select important variables from a very large dataset? - Cross Validated"
"R Stats","http://caret.r-forge.r-project.org/","The caret Package"
"R Stats","http://caret.r-forge.r-project.org/misc.html","Miscellaneous Model Functions"
"R Stats","http://caret.r-forge.r-project.org/preprocess.html","Pre-Processing"
"R Stats","http://alandgraf.blogspot.com/2012/07/random-forest-variable-importance.html","Random Forest Variable Importance | Statistically Significant"
"R Stats","http://stats.stackexchange.com/questions/21152/obtaining-knowledge-from-a-random-forest","interaction - Obtaining knowledge from a random forest - Cross Validated"
"R Stats","http://rgm3.lab.nig.ac.jp/RGM/r_image_list?page=711&init=true","R Graphical Manual"
"R Stats","http://rgm3.lab.nig.ac.jp/RGM/r_function?p=randomForest&f=MDSplot","R Graphical Manual"
"R Stats","http://rgm3.lab.nig.ac.jp/RGM/r_image_list","R Graphical Manual"
"R Stats","http://oobaloo.co.uk/evaluating-classifier-results-with-r-part-2","Evaluating classifier results with R part 2 - pingles"
"R Stats","http://www.r-bloggers.com/better-logging-in-r-aka-futile-logger-1-3-0-released/","Better logging in R (aka futile.logger 1.3.0 released) | (R news &amp; tutorials)"
"R Stats","http://www.inside-r.org/packages/cran/caret/docs/sbf","sbf {caret} | inside-R | A Community Site for R"
"R Stats","http://www.statmethods.net/management/subset.html","Quick-R: Subsetting Data"
"R Stats","http://www.r-bloggers.com/shiny-0-4-0-now-available/","Shiny 0.4.0 now available | (R news &amp; tutorials)"
"R Stats","http://www.niehs.nih.gov/about/visiting/events/pastmtg/assets/docs_k_m/missingdatar.r","http://www.niehs.nih.gov/about/visiting/events/pastmtg/assets/docs_k_m/missingdatar.r"
"R Stats","http://al3xandr3.github.com/2012/11/09/data-processing-utils.html","Data Processing Utils"
"R Stats","http://www.stat.auckland.ac.nz/~yee/VGAM/","VGAM"
"R Stats","http://www.r-bloggers.com/the-long-tail-of-the-pareto-distribution/","The Long Tail of the Pareto Distribution | (R news &amp; tutorials)"
"R Stats","http://stats.stackexchange.com/questions/27426/how-do-i-fit-a-set-of-data-to-a-pareto-distribution-in-r","How do I fit a set of data to a Pareto distribution in R? - Cross Validated"
"R Stats","http://opensourcesoftware.casact.org/actuar","actuar - Loss Distribution Modeling - Open Source Software"
"R Stats","http://rcom.univie.ac.at/","statconn"
"R Stats","http://homepage.univie.ac.at/erich.neuwirth/php/rcomwiki/doku.php?id=wiki:how_to_install","wiki:how_to_install - Information about statconnDCOM, rcom, and RExcel"
"R Stats","https://sites.google.com/site/vpstatsanalytics/r-resources","R Resources - vpstatsanalytics"
"R Stats","http://whizage.org/","Whizage | Awesome place to learn data analysis, completely free"
"R Stats","http://www.nsnam.org/doxygen-release/classns3_1_1_pareto_variable.html","ns-3: ns3::ParetoVariable Class Reference"
"R Stats","http://en.wikibooks.org/wiki/R_Programming/Probability_Distributions","R Programming/Probability Distributions - Wikibooks, open books for an open world"
"R Stats","http://stackoverflow.com/questions/14497349/draw-random-numbers-from-restricted-pareto-distribution","r - Draw random numbers from restricted Pareto distribution - Stack Overflow"
"R Stats","http://hosho.ees.hokudai.ac.jp/~kubo/Rdoc/library/VGAM/html/pareto1.html","R: Pareto and Truncated Pareto Distribution Family Functions"
"R Stats","http://www.inside-r.org/packages/cran/BTYD/docs/pnbd.EstimateParameters","pnbd.EstimateParameters {BTYD} | inside-R | A Community Site for R"
"R Stats","http://hosho.ees.hokudai.ac.jp/~kubo/Rdoc/library/VGAM/html/Pareto.html","R: The Pareto Distribution"
"R Stats","http://escholarship.org/uc/item/4d7477sq","Estimation of the upper cutoff parameter for the tapered Pareto distribution [eScholarship]"
"R Stats","https://github.com/geoffjentry/twitteR/blob/master/R/comm.R","twitteR/R/comm.R at master · geoffjentry/twitteR · GitHub"
"R Stats","http://cran.r-project.org/web/packages/twitteR/vignettes/twitteR.pdf","twitteR.pdf"
"R Stats","http://www.r-bloggers.com/generate-gis-integrated-animationgun-deaths-animation-r/","Generate GIS integrated animation:Gun deaths animation – R | (R news &amp; tutorials)"
"R Stats","http://www.econometricsbysimulation.com/2013/03/generate-gis-integrated-animationgun.html","Econometrics by Simulation: Generate GIS integrated animation:Gun deaths animation - R"
"R Stats","http://www.r-bloggers.com/facebook-profile-photo-changes-reveal-trends-in-support-for-same-sex-marriage/","Facebook profile photo changes reveal trends in support for same-sex marriage | (R news &amp; tutorials)"
"R Stats","http://www.omegahat.org/RSXML/shortIntro.pdf","shortIntro.pdf"
"R Stats","http://cran.r-project.org/doc/manuals/r-release/R-data.html","R Data Import/Export"
"R Stats","http://rss.acs.unt.edu/Rdoc/library/XML/html/xmlTreeParse.html","R: XML Parser"
"R Stats","http://www.ci.tuwien.ac.at/Conferences/DSC-2001/Proceedings/HothornJamesRipley.pdf","HothornJamesRipley.pdf"
"R Stats","http://www.stat.berkeley.edu/~nolan/stat133/Fall05/lectures/SQL-R.pdf","SQL-R.pdf"
"R Stats","http://www.rforge.net/RJDBC/","RJDBC - Allows the use of JDBC to access databases from R - RForge.net"
"R Stats","http://www.thedefalcos.com/post/R-you-connecting-to-SQL-Server.aspx","The Informagician | R you connecting to SQL Server?"
"R Stats","http://anotherdataminingblog.blogspot.com/2011/05/connecting-r-to-our-database.html","Another Data Mining Blog: Connecting R to our Database and Plotting Histograms"
"R Stats","http://www.statmethods.net/management/functions.html","Quick-R: Built-in Functions"
"R Stats","http://www.stats4stem.org/r-binomial-distribution.html","R Binomial Distribution, r binom, binom - STATS4STEM.ORG"
